state,year,senate_total,senate_dem,senate_rep,senate_other,house_total,house_dem,house_rep,house_other
California,2018,40,27,13,0,80,52,25,0
Colorado,2018,35,16,18,1,65,37,27,0
Connecticut,2018,36,18,18,0,151,78,71,0
Delaware,2018,21,11,10,0,41,25,16,0
Florida,2018,40,15,24,0,120,40,76,0
Georgia,2018,56,19,36,0,180,64,114,0
Hawaii,2018,25,25,0,0,51,45,5,0
Idaho,2018,35,6,29,0,70,11,59,0
Illinois,2018,59,37,22,0,118,66,51,0
Indiana,2018,50,9,40,0,100,30,70,0
Iowa,2018,50,20,29,1,100,41,59,0
Kansas,2018,40,9,31,0,125,40,85,0
Kentucky,2018,38,11,27,0,100,36,63,0
Louisiana,2018,39,14,25,0,105,41,61,3
Maine,2018,35,17,18,0,151,74,70,7
Maryland,2018,47,33,14,0,141,91,49,0
Massachusetts,2018,40,32,7,0,160,124,34,1
Michigan,2018,38,11,27,0,110,47,63,0
Minnesota,2018,67,32,34,0,134,57,76,0
Mississippi,2018,52,19,32,0,122,48,73,0
Missouri,2018,34,9,25,0,163,46,112,0
Montana,2018,50,18,32,0,100,41,58,0
Nebraska,2018,49,0,0,49,0,0,0,0
Nevada,2018,21,10,9,1,42,27,14,0
New Hampshire,2018,24,10,14,0,400,175,218,3
New Jersey,2018,40,25,15,0,80,54,26,0
New Mexico,2018,42,26,16,0,70,38,32,0
New York,2018,63,30,31,0,150,103,37,1
North Carolina,2018,50,15,35,0,120,45,75,0
North Dakota,2018,47,9,38,0,94,13,81,0
Ohio,2018,33,9,24,0,99,33,64,0
Oklahoma,2018,48,7,40,0,101,28,72,0
Oregon,2018,30,17,13,0,60,35,25,0
Pennsylvania,2018,50,16,34,0,203,80,120,0
Rhode Island,2018,38,33,5,0,75,64,11,0
South Carolina,2018,46,18,28,0,124,44,77,0
South Dakota,2018,35,6,29,0,70,10,60,0
Tennessee,2018,33,5,26,0,99,25,73,0
Texas,2018,31,11,20,0,150,56,94,0
Utah,2018,29,5,23,0,75,13,61,0
Vermont,2018,30,21,7,2,150,83,53,14
Virginia,2018,40,19,21,0,100,49,51,0
Washington,2018,49,26,22,0,98,50,48,0
West Virginia,2018,34,12,22,0,100,36,63,0
Wisconsin,2018,33,13,18,0,99,35,62,0
Wyoming,2018,30,3,27,0,60,9,51,0
Alabama,2019,35,8,27,0,105,28,77,0
Alaska,2019,20,7,13,0,40,19,21,0
Arizona,2019,30,13,17,0,60,29,31,0
Arkansas,2019,35,9,26,0,100,24,76,0
California,2019,40,29,11,0,80,61,19,0
Colorado,2019,35,19,16,0,65,41,24,0
Connecticut,2019,36,24,12,0,151,92,59,0
Delaware,2019,21,12,9,0,41,26,15,0
Florida,2019,40,17,23,0,120,47,73,0
Georgia,2019,56,21,35,0,180,74,106,0
Hawaii,2019,25,24,1,0,51,46,5,0
Idaho,2019,35,7,28,0,70,14,56,0
Illinois,2019,59,40,19,0,118,74,44,0
Indiana,2019,50,10,40,0,100,33,67,0
Iowa,2019,50,18,32,0,100,46,54,0
Kansas,2019,40,11,28,1,125,40,85,0
Kentucky,2019,38,10,28,0,100,39,61,0
Louisiana,2019,39,14,25,0,105,39,63,3
Maine,2019,35,21,14,0,151,89,57,5
Maryland,2019,47,32,15,0,141,98,43,0
Massachusetts,2019,40,34,6,0,160,127,32,1
Michigan,2019,38,16,22,0,110,52,58,0
Minnesota,2019,67,33,34,0,134,75,59,0
Mississippi,2019,52,19,33,0,122,48,74,0
Missouri,2019,34,10,24,0,163,47,116,0
Montana,2019,50,20,30,0,100,42,58,0
Nebraska,2019,49,0,0,49,0,0,0,0
Nevada,2019,21,13,8,0,42,29,13,0
New Hampshire,2019,24,14,10,0,400,234,166,0
New Jersey,2019,40,26,14,0,80,54,26,0
New Mexico,2019,42,26,16,0,70,46,24,0
New York,2019,63,40,23,0,150,107,43,0
North Carolina,2019,50,21,29,0,120,55,65,0
North Dakota,2019,47,10,37,0,94,15,79,0
Ohio,2019,33,9,24,0,99,38,61,0
Oklahoma,2019,48,9,39,0,101,24,77,0
Oregon,2019,30,18,12,0,60,38,22,0
Pennsylvania,2019,50,21,29,0,203,93,110,0
Rhode Island,2019,38,33,5,0,75,66,9,0
South Carolina,2019,46,19,27,0,124,44,80,0
South Dakota,2019,35,5,30,0,70,11,59,0
Tennessee,2019,33,5,28,0,99,26,73,0
Texas,2019,31,12,19,0,150,67,83,0
Utah,2019,29,6,23,0,75,17,58,0
Vermont,2019,30,22,6,2,150,95,43,12
Virginia,2019,40,19,21,0,100,49,51,0
Washington,2019,49,28,21,0,98,57,41,0
West Virginia,2019,34,14,20,0,100,41,59,0
Wisconsin,2019,33,14,19,0,99,35,64,0
Wyoming,2019,30,3,27,0,60,9,50,1
Alabama,2020,35,8,27,0,105,28,77,0
Alaska,2020,20,7,13,0,40,15,23,2
Arizona,2020,30,13,17,0,60,29,31,0
Arkansas,2020,35,9,26,0,100,24,76,0
California,2020,40,29,10,0,80,61,18,1
Colorado,2020,35,19,16,0,65,41,24,0
Connecticut,2020,36,22,14,0,151,91,60,0
Delaware,2020,21,12,9,0,41,26,15,0
Florida,2020,40,17,23,0,120,47,73,0
Georgia,2020,56,21,35,0,180,75,105,0
Hawaii,2020,25,24,1,0,51,46,5,0
Idaho,2020,35,7,28,0,70,14,56,0
Illinois,2020,59,40,19,0,118,74,44,0
Indiana,2020,50,10,40,0,100,33,67,0
